Site,Weight,mz,time_since_excl,map,mat,treatment
PL,11.344,3 (Moderately Dry),6,580,19.8,F
PL,10.096,3 (Moderately Dry),6,580,19.8,F
PL,9.968,3 (Moderately Dry),6,580,19.8,F
PL,8.976,3 (Moderately Dry),6,580,19.8,F
PL,6.496,3 (Moderately Dry),6,580,19.8,F
PL,5.744,3 (Moderately Dry),6,580,19.8,F
PL,3.36,3 (Moderately Dry),6,580,19.8,F
PL,3.28,3 (Moderately Dry),6,580,19.8,F
PL,2.832,3 (Moderately Dry),6,580,19.8,F
PL,2.608,3 (Moderately Dry),6,580,19.8,F
PL,2.24,3 (Moderately Dry),6,580,19.8,F
PL,2.16,3 (Moderately Dry),6,580,19.8,F
PL,1.84,3 (Moderately Dry),6,580,19.8,F
PL,1.232,3 (Moderately Dry),6,580,19.8,F
PL,1.216,3 (Moderately Dry),6,580,19.8,F
PL,1.056,3 (Moderately Dry),6,580,19.8,F
PL,1.04,3 (Moderately Dry),6,580,19.8,F
PL,0.928,3 (Moderately Dry),6,580,19.8,F
PL,0.64,3 (Moderately Dry),6,580,19.8,F
PL,0.48,3 (Moderately Dry),6,580,19.8,F
PL,0.544,3 (Moderately Dry),6,580,19.8,F
PL,7.008,3 (Moderately Dry),0,580,19.8,U
PL,4.576,3 (Moderately Dry),0,580,19.8,U
PL,4.384,3 (Moderately Dry),0,580,19.8,U
PL,4.032,3 (Moderately Dry),0,580,19.8,U
PL,1.776,3 (Moderately Dry),0,580,19.8,U
PL,1.696,3 (Moderately Dry),0,580,19.8,U
PL,1.616,3 (Moderately Dry),0,580,19.8,U
PL,0.08,3 (Moderately Dry),0,580,19.8,U
PL,0.144,3 (Moderately Dry),0,580,19.8,U
PL,0.288,3 (Moderately Dry),0,580,19.8,U
PN,19.088,3 (Moderately Dry),5,766,22,F
PN,9.984,3 (Moderately Dry),5,766,22,F
PN,8.848,3 (Moderately Dry),5,766,22,F
PN,6.336,3 (Moderately Dry),5,766,22,F
PN,5.76,3 (Moderately Dry),5,766,22,F
PN,5.68,3 (Moderately Dry),5,766,22,F
PN,4.336,3 (Moderately Dry),5,766,22,F
PN,3.104,3 (Moderately Dry),5,766,22,F
PN,2.72,3 (Moderately Dry),5,766,22,F
PN,2.528,3 (Moderately Dry),5,766,22,F
PN,2.336,3 (Moderately Dry),5,766,22,F
PN,2.304,3 (Moderately Dry),5,766,22,F
PN,2.304,3 (Moderately Dry),5,766,22,F
PN,2.08,3 (Moderately Dry),5,766,22,F
PN,1.984,3 (Moderately Dry),5,766,22,F
PN,1.952,3 (Moderately Dry),5,766,22,F
PN,1.76,3 (Moderately Dry),5,766,22,F
PN,1.632,3 (Moderately Dry),5,766,22,F
PN,1.616,3 (Moderately Dry),5,766,22,F
PN,1.568,3 (Moderately Dry),5,766,22,F
PN,1.36,3 (Moderately Dry),5,766,22,F
PN,1.264,3 (Moderately Dry),5,766,22,F
PN,0.928,3 (Moderately Dry),5,766,22,F
PN,0.864,3 (Moderately Dry),5,766,22,F
PN,0.816,3 (Moderately Dry),5,766,22,F
PN,0.784,3 (Moderately Dry),5,766,22,F
PN,0.544,3 (Moderately Dry),5,766,22,F
PN,0.544,3 (Moderately Dry),5,766,22,F
PN,0.336,3 (Moderately Dry),5,766,22,F
PN,0.096,3 (Moderately Dry),5,766,22,F
PN,7.6,3 (Moderately Dry),0,766,22,U
PN,6.064,3 (Moderately Dry),0,766,22,U
PN,5.84,3 (Moderately Dry),0,766,22,U
PN,5.504,3 (Moderately Dry),0,766,22,U
PN,5.136,3 (Moderately Dry),0,766,22,U
PN,4.551998038,3 (Moderately Dry),0,766,22,U
PN,4.192,3 (Moderately Dry),0,766,22,U
PN,3.888,3 (Moderately Dry),0,766,22,U
PN,2.976,3 (Moderately Dry),0,766,22,U
PN,2.384,3 (Moderately Dry),0,766,22,U
PN,2.224,3 (Moderately Dry),0,766,22,U
PN,2.192,3 (Moderately Dry),0,766,22,U
PN,2.176,3 (Moderately Dry),0,766,22,U
PN,2.176,3 (Moderately Dry),0,766,22,U
PN,1.728,3 (Moderately Dry),0,766,22,U
PN,1.52,3 (Moderately Dry),0,766,22,U
PN,0.976,3 (Moderately Dry),0,766,22,U
PN,0.672,3 (Moderately Dry),0,766,22,U
PN,0.576,3 (Moderately Dry),0,766,22,U
PN,0.528,3 (Moderately Dry),0,766,22,U
PN,6.064,3 (Moderately Dry),0,766,22,U
PN,7.024,3 (Moderately Dry),0,766,22,U
